matchNum,duration,timeStamp,mapName,modeName,t1_id,t1_name,t1_color,t1_score,t2_id,t2_name,t2_color,t2_score,playerName,playerTeamId,playerTimePlayed,playerOutcome,playerPlacement,playerTypeInt,playerScore,playerPersonalScore,playerRoundsWon,playerRoundsLost,playerRoundsTied,playerKills,playerDeaths,playerAssists,playerKDA,playerKDRatio,playerBetrayals,playerGrenadeKills,playerHeadshotKills,playerMeleeKills,playerPowerWeaponKills,playerShotsFired,playerShotsHit,playerAccuracy,playerDamageDealt,playerDamageTaken,playerCalloutAssists,playerVehicleDestroys,playerDriverAssists,playerHijacks,playerEmpAssists,playerMaxKillingSpree,rating,flagCaptureAssists,flagCaptures,flagCarriersKilled,flagGrabs,flagReturnersKilled,flagReturns,flagSecures,flagSteals,killsAsFlagCarrier,killsAsFlagReturner,timeAsFlagCarrier,killsAsSkullCarrier,longestTimeAsSkullCarrier,skullCarriersKilled,skullGrabs,timeAsSkullCarrier,skullScoringTicks
11,763.268506,2021-12-29T21:36:58.818+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,247,Jimbo,1,727.61,Loss,5,1,0,3300,0,1,0,24,21,7,5,1.142857143,0,1,13,8,1,612,310,50.65,6564,6644,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
11,763.268506,2021-12-29T21:36:58.818+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,247,tuf0xy,1,727.61,Loss,5,1,0,3375,0,1,0,25,18,7,9,1.388888889,0,2,13,4,4,643,302,46.96,6200,5244,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
11,763.268506,2021-12-29T21:36:58.818+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,247,r Sica,0,727.61,Win,1,1,0,3625,1,0,0,26,19,13,11,1.368421053,0,0,17,6,0,718,390,54.31,7387,5957,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
11,763.268506,2021-12-29T21:36:58.818+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,247,Lqgend,0,727.61,Win,1,1,0,3025,1,0,0,19,24,13,-1,0.791666667,0,0,15,4,0,644,348,54.03,6217,6386,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
11,763.268506,2021-12-29T21:36:58.818+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,247,KIMBQ,1,727.61,Loss,5,1,0,2750,0,1,0,18,22,10,-1,0.818181818,0,1,14,2,0,570,306,53.68,5262,6587,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
11,763.268506,2021-12-29T21:36:58.818+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,247,SNlPEDRONE,0,727.61,Win,1,1,0,2600,1,0,0,16,19,9,0,0.842105263,0,0,10,4,0,486,268,55.14,5079,5720,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
11,763.268506,2021-12-29T21:36:58.818+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,247,Respctful,1,727.61,Loss,5,1,0,2625,0,1,0,16,22,13,-2,0.727272727,0,1,6,7,1,485,266,54.84,5361,6109,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
11,763.268506,2021-12-29T21:36:58.818+00:00,Recharge,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,247,Shaady,0,727.61,Win,1,1,0,3025,1,0,0,22,21,7,3,1.047619048,0,1,18,2,0,493,266,53.95,5703,5645,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
10,822.0677183,2021-12-29T21:20:33.827+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,120,Jimbo,1,786.11,Loss,5,1,55,3065,0,2,0,21,26,10,-2,0.807692308,0,3,11,5,0,593,310,52.27,6505,6725,0,0,0,0,0,2,,,,,,,,,,,,,0,0:00:14,1,0,00:58.1,55
10,822.0677183,2021-12-29T21:20:33.827+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,120,tuf0xy,1,786.11,Loss,6,1,37,2510,0,2,0,17,23,10,-3,0.739130435,0,0,14,1,0,572,273,47.72,4867,6441,0,0,0,0,0,3,,,,,,,,,,,,,0,00:12.1,0,0,00:45.1,37
