mtachNum,duration,timeStamp,mapName,modeName,t1_id,t1_name,t1_color,t1_score,t2_id,t2_name,t2_color,t2_score,playerName,playerTeamId,playerTimePlayed,playerOutcome,playerPlacement,playerTypeInt,playerScore,playerPersonalScore,playerRoundsWon,playerRoundsLost,playerRoundsTied,playerKills,playerDeaths,playerAssists,playerKDA,playerKDRatio,playerBetrayals,playerGrenadeKills,playerHeadshotKills,playerMeleeKills,playerPowerWeaponKills,playerShotsFired,playerShotsHit,playerAccuracy,playerDamageDealt,playerDamageTaken,playerCalloutAssists,playerVehicleDestroys,playerDriverAssists,playerHijacks,playerEmpAssists,playerMaxKillingSpree,rating,flagCaptureAssists,flagCaptures,flagCarriersKilled,flagGrabs,flagReturnersKilled,flagReturns,flagSecures,flagSteals,killsAsFlagCarrier,killsAsFlagReturner,timeAsFlagCarrier,killsAsSkullCarrier,longestTimeAsSkullCarrier,skullCarriersKilled,skullGrabs,timeAsSkullCarrier,skullScoringTicks
10,711.7318732,2021-12-31T02:56:53.885+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,190,1,Cobra,red,250,Hysteria WA,0,711.719,Loss,5,1,0,2875,0,1,0,16,19,15,2,0.842105263,0,2,12,2,1,541,292,53.97,5572,5819,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
10,711.7318732,2021-12-31T02:56:53.885+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,190,1,Cobra,red,250,ROB THE TURTLE,0,711.719,Loss,5,1,0,2300,0,1,0,18,19,3,0,0.947368421,0,2,13,2,1,509,289,56.77,5903,5937,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
10,711.7318732,2021-12-31T02:56:53.885+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,190,1,Cobra,red,250,Gilkey,1,711.719,Win,1,1,0,3050,1,0,0,23,15,6,10,1.533333333,0,1,16,4,0,713,317,44.46,6550,5638,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,
10,711.7318732,2021-12-31T02:56:53.885+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,190,1,Cobra,red,250,Huss,0,711.719,Loss,5,1,0,2650,0,1,0,17,16,9,4,1.0625,0,1,14,2,0,692,301,43.49,5736,5052,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
10,711.7318732,2021-12-31T02:56:53.885+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,190,1,Cobra,red,250,Str8 SicK CS,1,711.719,Win,1,1,0,2150,1,0,0,16,19,6,-1,0.842105263,1,0,11,2,0,525,266,50.66,4805,6060,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
10,711.7318732,2021-12-31T02:56:53.885+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,190,1,Cobra,red,250,tD Triton,0,711.719,Loss,5,1,0,2250,0,1,0,13,22,8,-7,0.590909091,0,1,10,1,0,541,226,41.77,4963,6284,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
10,711.7318732,2021-12-31T02:56:53.885+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,190,1,Cobra,red,250,Woopyloopy2450,1,711.719,Win,1,1,0,3100,1,0,0,22,14,10,11,1.571428571,0,1,17,0,3,674,314,46.58,6267,5562,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,
10,711.7318732,2021-12-31T02:56:53.885+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,190,1,Cobra,red,250,SquareSloth4111,1,711.719,Win,1,1,0,2425,1,0,0,15,17,8,0,0.882352941,0,0,13,2,2,571,245,42.9,4859,5360,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
9,760.2856144,2021-12-31T02:43:32.92+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,2,1,Cobra,red,1,Hysteria WA,0,760.265,Win,3,1,0,2185,1,0,0,16,18,10,1,0.888888889,0,0,11,3,0,661,328,49.62,5376,6230,0,0,0,0,0,2,,0,0,0,1,1,3,1,0,0,0,3.47222E-06,,,,,,
9,760.2856144,2021-12-31T02:43:32.92+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,2,1,Cobra,red,1,ROB THE TURTLE,0,760.265,Win,3,1,0,2970,1,0,0,21,13,12,12,1.615384615,0,1,15,2,0,599,318,53.08,5769,5821,0,0,0,0,0,4,,2,0,0,9,1,0,4,2,0,0,0.00025463,,,,,,
