matchNum,duration,timeStamp,mapName,modeName,t1_id,t1_name,t1_color,t1_score,t2_id,t2_name,t2_color,t2_score,playerName,playerTeamId,playerTimePlayed,playerOutcome,playerPlacement,playerTypeInt,playerScore,playerPersonalScore,playerRoundsWon,playerRoundsLost,playerRoundsTied,playerKills,playerDeaths,playerAssists,playerKDA,playerKDRatio,playerBetrayals,playerGrenadeKills,playerHeadshotKills,playerMeleeKills,playerPowerWeaponKills,playerShotsFired,playerShotsHit,playerAccuracy,playerDamageDealt,playerDamageTaken,playerCalloutAssists,playerVehicleDestroys,playerDriverAssists,playerHijacks,playerEmpAssists,playerMaxKillingSpree,rating,flagCaptureAssists,flagCaptures,flagCarriersKilled,flagGrabs,flagReturnersKilled,flagReturns,flagSecures,flagSteals,killsAsFlagCarrier,killsAsFlagReturner,timeAsFlagCarrier,killsAsSkullCarrier,longestTimeAsSkullCarrier,skullCarriersKilled,skullGrabs,timeAsSkullCarrier,skullScoringTicks
6,746.0649746,2021-12-31T04:10:49.155+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,3,1,Cobra,red,2,Nick vwp,0,746.063,Win,1,1,2,3545,1,0,0,25,13,4,13,1.923076923,0,2,16,4,0,534,212,39.7,5173,5168,0,0,0,0,0,12,,1,2,0,40,0,0,13,5,0,0,00:30.3,,,,,,
6,746.0649746,2021-12-31T04:10:49.155+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,3,1,Cobra,red,2,Rayne 1g,0,746.063,Win,3,1,0,1600,1,0,0,9,18,12,-5,0.5,0,0,9,0,0,617,330,53.48,5236,5647,0,0,0,0,0,3,,0,0,2,0,0,2,0,0,0,0,0:00:00,,,,,,
6,746.0649746,2021-12-31T04:10:49.155+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,3,1,Cobra,red,2,Sparty McFIy,0,746.063,Win,3,1,0,3325,1,0,0,30,17,6,15,1.764705882,0,4,21,3,2,584,335,57.36,6637,5240,0,0,0,0,0,7,,0,0,0,5,0,0,1,1,0,0,00:01.7,,,,,,
6,746.0649746,2021-12-31T04:10:49.155+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,3,1,Cobra,red,2,SSoLuRs x,1,746.063,Loss,5,1,1,1985,0,1,0,14,15,4,0,0.933333333,0,1,6,4,0,430,219,50.93,4745,4838,0,0,0,0,0,7,,0,1,0,7,0,2,2,1,0,0,00:09.7,,,,,,
6,746.0649746,2021-12-31T04:10:49.155+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,3,1,Cobra,red,2,RyaNoob Nerds,0,746.063,Win,2,1,1,2250,1,0,0,11,20,14,-5,0.55,0,1,8,1,0,537,296,55.12,5275,6385,0,0,0,0,0,3,,1,1,0,8,0,0,3,2,0,0,00:04.4,,,,,,
6,746.0649746,2021-12-31T04:10:49.155+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,3,1,Cobra,red,2,MentaL FP,1,746.063,Loss,5,1,1,2675,0,1,0,19,20,9,2,0.95,0,3,10,2,2,542,320,59.04,6348,5637,0,0,0,0,0,6,,0,1,0,10,0,0,6,1,0,0,00:10.2,,,,,,
6,746.0649746,2021-12-31T04:10:49.155+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,3,1,Cobra,red,2,chancemaux,1,746.063,Loss,7,1,0,2225,0,1,0,18,20,5,-1,0.9,0,1,8,2,2,503,262,52.08,5313,6155,0,0,0,0,0,3,,1,0,0,10,0,1,3,2,0,1,00:11.3,,,,,,
6,746.0649746,2021-12-31T04:10:49.155+00:00,Bazaar,Ranked:CTF,0,Eagle,blue,3,1,Cobra,red,2,eU xplos1ve,1,746.063,Loss,7,1,0,2175,0,1,0,17,20,9,0,0.85,0,4,9,3,0,674,378,56.08,5954,6062,0,0,0,0,0,5,,0,0,0,0,0,1,0,0,0,0,0:00:00,,,,,,
5,922.5066463,2021-12-31T03:57:16.708+00:00,Streets,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,165,Nick vwp,0,914.907,Win,4,1,19,2920,2,0,0,19,30,17,-6,0.633333333,0,3,11,1,2,778,433,55.65,7640,7917,0,0,0,0,0,2,,,,,,,,,,,,,0,00:19.1,0,0,00:19.9,19
5,922.5066463,2021-12-31T03:57:16.708+00:00,Streets,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,165,Rayne 1g,0,914.907,Win,3,1,32,3355,2,0,0,25,22,11,6,1.136363636,0,0,18,2,1,741,425,57.35,7720,8131,0,0,0,0,0,3,,,,,,,,,,,,,0,00:23.8,1,0,00:33.7,32
