matchNum,duration,timeStamp,mapName,modeName,t1_id,t1_name,t1_color,t1_score,t2_id,t2_name,t2_color,t2_score,playerName,playerTeamId,playerTimePlayed,playerOutcome,playerPlacement,playerTypeInt,playerScore,playerPersonalScore,playerRoundsWon,playerRoundsLost,playerRoundsTied,playerKills,playerDeaths,playerAssists,playerKDA,playerKDRatio,playerBetrayals,playerGrenadeKills,playerHeadshotKills,playerMeleeKills,playerPowerWeaponKills,playerShotsFired,playerShotsHit,playerAccuracy,playerDamageDealt,playerDamageTaken,playerCalloutAssists,playerVehicleDestroys,playerDriverAssists,playerHijacks,playerEmpAssists,playerMaxKillingSpree,rating,flagCaptureAssists,flagCaptures,flagCarriersKilled,flagGrabs,flagReturnersKilled,flagReturns,flagSecures,flagSteals,killsAsFlagCarrier,killsAsFlagReturner,timeAsFlagCarrier,killsAsSkullCarrier,longestTimeAsSkullCarrier,skullCarriersKilled,skullGrabs,timeAsSkullCarrier,skullScoringTicks
13,456.5502934,2021-12-30T01:56:04.727+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,44,Nick vwp,0,456.531,Win,2,1,12,1300,1,0,0,12,12,2,0,1,0,0,6,3,3,275,143,52,3994,3818,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
13,456.5502934,2021-12-30T01:56:04.727+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,44,Rayne 1g,0,456.531,Win,4,1,10,1600,1,0,0,10,12,12,2,0.833333333,0,0,7,1,0,512,247,48.24,3578,3403,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
13,456.5502934,2021-12-30T01:56:04.727+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,44,Juziro,1,456.531,Loss,6,1,9,1100,0,1,0,9,15,4,-5,0.6,0,1,6,1,0,352,134,38.06,2657,3840,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
13,456.5502934,2021-12-30T01:56:04.727+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,44,SuperCC Evades,1,456.531,Loss,6,1,9,1250,0,1,0,9,13,7,-2,0.692307692,0,2,4,2,0,328,175,53.35,3221,3388,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
13,456.5502934,2021-12-30T01:56:04.727+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,44,Sparty McFIy,0,456.531,Win,1,1,16,1850,1,0,0,16,12,5,5,1.333333333,0,0,12,1,0,593,337,56.82,3500,3668,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
13,456.5502934,2021-12-30T01:56:04.727+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,44,RyaNoob Nerds,0,456.531,Win,2,1,12,1400,1,0,0,12,8,4,5,1.5,0,0,9,2,0,377,199,52.78,3759,3328,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
13,456.5502934,2021-12-30T01:56:04.727+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,44,Envore,1,456.531,Loss,8,1,8,1300,0,1,0,8,11,10,0,0.727272727,0,0,4,1,2,467,206,44.11,3784,3959,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
13,456.5502934,2021-12-30T01:56:04.727+00:00,Streets,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,44,Sceptify,1,456.531,Loss,5,1,18,2000,0,1,0,18,11,4,8,1.636363636,0,1,13,2,2,264,174,65.9,4474,3752,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,
12,803.74564,2021-12-30T01:46:11.637+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,120,Nick vwp,0,796.187,Win,4,1,7,3470,2,0,0,32,22,5,11,1.454545455,0,2,20,4,2,840,422,50.23,8019,6552,0,0,0,0,0,5,,,,,,,,,,,,,0,00:03.6,0,2,00:09.1,7
12,803.74564,2021-12-30T01:46:11.637+00:00,Live Fire,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,120,Rayne 1g,0,796.187,Win,2,1,62,2930,2,0,0,18,18,14,4,1,0,3,13,2,1,562,316,56.22,5908,5812,0,0,0,0,0,4,,,,,,,,,,,,,0,0:00:19,0,2,01:11.2,62
