mtachNum,duration,timeStamp,mapName,modeName,t1_id,t1_name,t1_color,t1_score,t2_id,t2_name,t2_color,t2_score,playerName,playerTeamId,playerTimePlayed,playerOutcome,playerPlacement,playerTypeInt,playerScore,playerPersonalScore,playerRoundsWon,playerRoundsLost,playerRoundsTied,playerKills,playerDeaths,playerAssists,playerKDA,playerKDRatio,playerBetrayals,playerGrenadeKills,playerHeadshotKills,playerMeleeKills,playerPowerWeaponKills,playerShotsFired,playerShotsHit,playerAccuracy,playerDamageDealt,playerDamageTaken,playerCalloutAssists,playerVehicleDestroys,playerDriverAssists,playerHijacks,playerEmpAssists,playerMaxKillingSpree,rating,flagCaptureAssists,flagCaptures,flagCarriersKilled,flagGrabs,flagReturnersKilled,flagReturns,flagSecures,flagSteals,killsAsFlagCarrier,killsAsFlagReturner,timeAsFlagCarrier,killsAsSkullCarrier,longestTimeAsSkullCarrier,skullCarriersKilled,skullGrabs,timeAsSkullCarrier,skullScoringTicks
13,670.1820631,2021-12-31T06:18:01.186+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,165,1,Cobra,red,250,Burton,1,670.156,Win,1,1,0,3100,1,0,0,24,18,5,7,1.333333333,0,1,16,3,0,484,293,60.53,6216,5652,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
13,670.1820631,2021-12-31T06:18:01.186+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,165,1,Cobra,red,250,Gilkey,0,670.156,Loss,5,1,0,1900,0,1,0,9,19,9,-7,0.473684211,0,1,6,0,0,512,263,51.36,4163,5413,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
13,670.1820631,2021-12-31T06:18:01.186+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,165,1,Cobra,red,250,Blaze SyA,1,670.156,Win,1,1,0,2195,1,0,0,8,13,16,0,0.615384615,0,0,6,1,0,533,216,40.52,3613,4586,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,
13,670.1820631,2021-12-31T06:18:01.186+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,165,1,Cobra,red,250,TheeFlamesword,1,670.156,Win,1,1,0,2970,1,0,0,18,15,12,7,1.2,0,0,12,4,0,544,285,52.38,4995,4631,2,0,0,0,0,6,,,,,,,,,,,,,,,,,,
13,670.1820631,2021-12-31T06:18:01.186+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,165,1,Cobra,red,250,Str8 SicK CS,0,670.156,Loss,5,1,0,2575,0,1,0,21,18,3,4,1.166666667,0,0,14,5,0,436,266,61,5602,5574,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
13,670.1820631,2021-12-31T06:18:01.186+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,165,1,Cobra,red,250,Player309290,0,670.156,Loss,5,1,0,2100,0,1,0,12,19,9,-4,0.631578947,0,2,9,0,0,563,253,44.93,4336,5196,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
13,670.1820631,2021-12-31T06:18:01.186+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,165,1,Cobra,red,250,Woopyloopy2450,0,670.156,Loss,5,1,0,2275,0,1,0,16,18,5,-1,0.888888889,0,2,10,3,0,367,212,57.76,4663,5044,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
13,670.1820631,2021-12-31T06:18:01.186+00:00,Live Fire,Ranked:Strongholds,0,Eagle,blue,165,1,Cobra,red,250,Enable 1OOT,1,670.156,Win,1,1,0,3275,1,0,0,24,12,9,15,2,0,2,22,0,1,628,347,55.25,6316,4303,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,
12,612.8168001,2021-12-31T06:04:49.843+00:00,Streets,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,72,Burton,1,605.234,Loss,6,1,22,1480,0,2,0,12,17,3,-4,0.705882353,0,0,11,0,0,441,258,58.5,3542,4883,0,0,0,0,0,6,,,,,,,,,,,,,0,00:09.6,0,0,00:25.2,22
12,612.8168001,2021-12-31T06:04:49.843+00:00,Streets,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,72,Gilkey,0,605.234,Win,4,1,2,1910,2,0,0,13,11,12,6,1.181818182,0,1,8,2,0,498,241,48.39,4644,3940,0,0,0,0,0,3,,,,,,,,,,,,,0,0:00:02,0,0,0:00:02,2
12,612.8168001,2021-12-31T06:04:49.843+00:00,Streets,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,72,Blaze SyA,1,605.234,Loss,5,1,33,1370,0,2,0,8,15,5,-6,0.533333333,0,1,5,0,1,402,226,56.21,3813,4813,0,0,0,0,0,3,,,,,,,,,,,,,0,00:27.4,0,0,00:33.5,33
12,612.8168001,2021-12-31T06:04:49.843+00:00,Streets,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,72,TheeFlamesword,1,605.234,Loss,8,1,0,1395,0,2,0,11,15,5,-3,0.733333333,0,2,7,1,0,405,213,52.59,4080,4839,2,0,0,0,0,2,,,,,,,,,,,,,0,0:00:00,1,0,0:00:00,0
12,612.8168001,2021-12-31T06:04:49.843+00:00,Streets,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,72,Str8 SicK CS,0,605.234,Win,3,1,40,2580,2,0,0,16,12,12,8,1.333333333,0,1,10,3,1,429,249,58.04,5193,4099,1,0,0,0,0,5,,,,,,,,,,,,,0,00:20.8,0,1,00:41.7,40
12,612.8168001,2021-12-31T06:04:49.843+00:00,Streets,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,72,Player309290,0,605.234,Win,2,1,65,2500,2,0,0,16,13,6,5,1.230769231,0,2,6,2,4,235,166,70.63,4233,3742,1,0,0,0,0,4,,,,,,,,,,,,,0,00:35.7,0,1,01:07.9,65
12,612.8168001,2021-12-31T06:04:49.843+00:00,Streets,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,72,Woopyloopy2450,0,605.234,Win,1,1,93,3160,2,0,0,20,7,8,15,2.857142857,0,1,13,0,1,673,365,54.23,5299,3938,0,0,0,0,0,4,,,,,,,,,,,,,0,00:17.8,0,0,0:01:39,93
12,612.8168001,2021-12-31T06:04:49.843+00:00,Streets,Ranked:Oddball,0,Eagle,blue,200,1,Cobra,red,72,Enable 1OOT,1,605.234,Loss,7,1,17,1620,0,2,0,12,18,6,-4,0.666666667,0,2,7,1,0,544,302,55.51,4081,4977,0,0,0,0,0,2,,,,,,,,,,,,,0,00:13.4,0,0,00:18.3,17
11,501.5861879,2021-12-31T05:52:58.234+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,31,Burton,1,501.578,Loss,5,1,14,1500,0,1,0,14,14,2,0,1,0,0,10,0,1,336,211,62.79,3600,4088,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
11,501.5861879,2021-12-31T05:52:58.234+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,31,Gilkey,0,501.578,Win,2,1,14,1550,1,0,0,14,5,3,10,2.8,0,0,7,1,5,284,141,49.64,3514,2275,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,
11,501.5861879,2021-12-31T05:52:58.234+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,31,Blaze SyA,1,501.578,Loss,7,1,6,800,0,1,0,6,12,4,-5,0.5,0,1,4,1,0,359,146,40.66,2458,4164,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
11,501.5861879,2021-12-31T05:52:58.234+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,31,TheeFlamesword,1,501.578,Loss,6,1,8,1160,0,1,0,8,11,7,-1,0.727272727,0,1,5,2,0,576,221,38.36,3628,3597,1,0,0,0,0,5,,,,,,,,,,,,,,,,,,
11,501.5861879,2021-12-31T05:52:58.234+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,31,Str8 SicK CS,0,501.578,Win,1,1,15,1750,1,0,0,15,10,5,6,1.5,0,1,10,2,0,431,273,63.34,4376,3559,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,
11,501.5861879,2021-12-31T05:52:58.234+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,31,Player309290,0,501.578,Win,4,1,7,950,1,0,0,7,6,5,2,1.166666667,0,0,6,1,0,330,186,56.36,3235,2768,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
11,501.5861879,2021-12-31T05:52:58.234+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,31,Woopyloopy2450,0,501.578,Win,2,1,14,1800,1,0,0,14,10,8,6,1.4,0,1,8,2,0,375,203,54.13,4315,3811,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
11,501.5861879,2021-12-31T05:52:58.234+00:00,Recharge,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,31,Enable 1OOT,1,501.578,Loss,8,1,3,800,0,1,0,3,13,10,-7,0.230769231,0,0,3,0,0,365,207,56.71,2641,3591,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
10,521.5758094,2021-12-31T05:43:06.94+00:00,Bazaar,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,40,Burton,1,521.562,Loss,5,1,15,1600,0,1,0,15,15,2,0,1,0,2,9,2,0,376,219,58.24,4063,4588,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
10,521.5758094,2021-12-31T05:43:06.94+00:00,Bazaar,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,40,Gilkey,0,521.562,Win,4,1,8,950,1,0,0,8,12,3,-3,0.666666667,0,0,4,4,0,333,135,40.54,2940,3280,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
10,521.5758094,2021-12-31T05:43:06.94+00:00,Bazaar,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,40,Blaze SyA,1,521.562,Loss,7,1,8,1260,0,1,0,8,12,9,-1,0.666666667,0,0,3,1,2,318,162,50.94,2968,4157,1,0,0,0,0,4,,,,,,,,,,,,,,,,,,
10,521.5758094,2021-12-31T05:43:06.94+00:00,Bazaar,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,40,TheeFlamesword,1,521.562,Loss,6,1,9,1210,0,1,0,9,10,6,1,0.9,0,0,3,5,0,418,178,42.58,3324,3514,1,0,0,0,0,4,,,,,,,,,,,,,,,,,,
10,521.5758094,2021-12-31T05:43:06.94+00:00,Bazaar,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,40,Str8 SicK CS,0,521.562,Win,1,1,16,1950,1,0,0,16,8,7,10,2,0,0,7,5,0,512,245,47.85,4763,3816,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
10,521.5758094,2021-12-31T05:43:06.94+00:00,Bazaar,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,40,Player309290,0,521.562,Win,1,1,16,1950,1,0,0,16,9,7,9,1.777777778,0,1,11,2,1,464,225,48.49,4473,3672,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
10,521.5758094,2021-12-31T05:43:06.94+00:00,Bazaar,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,40,Woopyloopy2450,0,521.562,Win,3,1,10,1350,1,0,0,10,11,7,1,0.909090909,0,0,6,1,1,473,226,47.78,4363,3691,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
10,521.5758094,2021-12-31T05:43:06.94+00:00,Bazaar,Ranked:Slayer,0,Eagle,blue,50,1,Cobra,red,40,Enable 1OOT,1,521.562,Loss,7,1,8,1200,0,1,0,8,13,8,-3,0.615384615,0,0,6,0,0,455,243,53.4,3811,4316,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
9,778.0958898,2021-12-31T05:33:15.879+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,142,1,Cobra,red,200,Burton,1,770.531,Win,2,1,72,3870,2,0,0,27,15,10,15,1.8,0,5,17,1,3,465,252,54.19,6155,5536,0,0,0,0,0,9,,,,,,,,,,,,,0,00:25.6,0,1,01:17.9,72
9,778.0958898,2021-12-31T05:33:15.879+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,142,1,Cobra,red,200,Gilkey,0,770.531,Loss,7,1,33,2280,0,2,0,18,18,5,1,1,0,1,9,3,3,650,308,47.38,5460,5729,0,0,0,0,0,3,,,,,,,,,,,,,0,00:10.8,2,0,00:36.9,33
9,778.0958898,2021-12-31T05:33:15.879+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,142,1,Cobra,red,200,Blaze SyA,1,770.531,Win,1,1,82,3320,2,0,0,20,16,12,8,1.25,0,1,13,2,3,487,219,44.96,4940,5681,1,0,0,0,0,6,,,,,,,,,,,,,0,00:23.5,0,0,01:28.6,82
9,778.0958898,2021-12-31T05:33:15.879+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,142,1,Cobra,red,200,TheeFlamesword,1,770.531,Win,3,1,28,2350,2,0,0,14,17,13,1,0.823529412,0,0,11,2,0,616,325,52.75,5332,5741,1,0,0,0,0,3,,,,,,,,,,,,,0,0:00:15,0,0,0:00:29,28
9,778.0958898,2021-12-31T05:33:15.879+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,142,1,Cobra,red,200,Str8 SicK CS,0,770.531,Loss,5,1,52,2205,0,2,0,13,20,8,-5,0.65,0,1,10,2,0,529,261,49.33,5735,6278,0,0,0,0,0,3,,,,,,,,,,,,,0,0:00:32,1,0,00:54.4,52
9,778.0958898,2021-12-31T05:33:15.879+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,142,1,Cobra,red,200,Player309290,0,770.531,Loss,6,1,48,2595,0,2,0,19,21,6,0,0.904761905,0,2,9,2,4,430,278,64.65,6020,6015,2,0,0,0,0,4,,,,,,,,,,,,,0,00:24.1,1,2,00:51.9,48
9,778.0958898,2021-12-31T05:33:15.879+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,142,1,Cobra,red,200,Woopyloopy2450,0,770.531,Loss,8,1,9,1795,0,2,0,15,20,4,-4,0.75,0,1,9,4,0,431,231,53.59,5179,5660,0,0,0,0,0,2,,,,,,,,,,,,,0,00:05.2,1,1,00:10.1,9
9,778.0958898,2021-12-31T05:33:15.879+00:00,Recharge,Ranked:Oddball,0,Eagle,blue,142,1,Cobra,red,200,Enable 1OOT,1,770.531,Win,4,1,18,2710,2,0,0,18,17,15,6,1.058823529,0,1,12,4,0,551,354,64.24,7001,5616,0,0,0,0,0,3,,,,,,,,,,,,,0,00:12.8,0,0,00:19.6,18
8,706.0161562,2021-12-31T05:16:50.628+00:00,Streets,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,237,Burton,1,706,Loss,5,1,0,3075,0,1,0,22,20,9,5,1.1,0,0,16,4,2,515,300,58.25,6270,6076,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,
8,706.0161562,2021-12-31T05:16:50.628+00:00,Streets,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,237,Gilkey,0,706,Win,1,1,0,2625,1,0,0,16,12,10,7,1.333333333,0,0,14,1,0,1004,416,41.43,5171,4510,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
8,706.0161562,2021-12-31T05:16:50.628+00:00,Streets,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,237,Blaze SyA,1,706,Loss,5,1,0,2710,0,1,0,16,19,15,2,0.842105263,0,4,8,1,1,485,279,57.52,5654,5925,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,
8,706.0161562,2021-12-31T05:16:50.628+00:00,Streets,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,237,TheeFlamesword,1,706,Loss,5,1,0,2275,0,1,0,16,15,6,3,1.066666667,0,0,11,3,1,458,217,47.37,4075,5501,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
8,706.0161562,2021-12-31T05:16:50.628+00:00,Streets,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,237,Str8 SicK CS,0,706,Win,1,1,0,2975,1,0,0,20,19,13,5,1.052631579,0,3,12,4,1,507,310,61.14,6098,5764,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
8,706.0161562,2021-12-31T05:16:50.628+00:00,Streets,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,237,Player309290,0,706,Win,1,1,0,3200,1,0,0,26,18,4,9,1.444444444,0,3,15,3,3,409,239,58.43,6761,5536,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,
8,706.0161562,2021-12-31T05:16:50.628+00:00,Streets,Ranked:Strongholds,0,Eagle,blue,250,1,Cobra,red,237,Woopyloopy2450,0,706,Win,1,1,0,1900,1,0,0,11,21,10,-7,0.523809524,0,4,6,0,1,411,246,59.85,5286,5681,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
